date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:25:53	130/130	---MCZ	200	added ('OK')	text/plain	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/robots.txt		(from )
21:25:54	837456/837456	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/index.html	(from )
21:25:55	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/favicon.ico	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/favicon.ico	(from https://suachuadientu-ht.blogspot.com/)
21:25:57	48522/48522	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/feeds/posts/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/posts/default	(from https://suachuadientu-ht.blogspot.com/)
21:25:58	40605/40605	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/feeds/posts/default?alt=rss	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/posts/default9522	(from https://suachuadientu-ht.blogspot.com/)
21:25:59	101708/101708	---M--	200	added ('OK')	image/jpeg	etag:%22v72c3%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbcZ5ohPEvas5eVuDeYeF2V0_iMD7Fk83WnfIeTw0pjBpqu8nrys_hGVJ3gYvYus2qNi9auxmBDPIgLRifydnGdXpNytYwgSN-_XFhb_0hS06BXwmPvet-bGAwF529IlmakNLHqILnnPRjtjJmx49uEJ2aup2Y-pxbZ5YSuDir7gOOklASB83TRjJKKWij/s16000/img_0027.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbcZ5ohPEvas5eVuDeYeF2V0_iMD7Fk83WnfIeTw0/s16000/img_0027.jpg	(from https://suachuadientu-ht.blogspot.com/)
21:26:01	759029/759029	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/p/gioi-thieu.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/p/gioi-thieu.html	(from https://suachuadientu-ht.blogspot.com/)
21:26:03	763352/763352	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/D%e1%bb%8bch%20v%e1%bb%a5	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/D%e1%bb%8bch%20v%e1%bb%a5.html	(from https://suachuadientu-ht.blogspot.com/)
21:26:04	752732/752732	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/Laptop	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/Laptop.html	(from https://suachuadientu-ht.blogspot.com/)
21:26:05	752947/752947	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/M%c3%a1y%20%e1%ba%a3nh	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/M%c3%a1y%20%e1%ba%a3nh.html	(from https://suachuadientu-ht.blogspot.com/)
21:26:06	756007/756007	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/%c4%90i%e1%bb%87n%20tho%e1%ba%a1i	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/%c4%90i%e1%bb%87n%20tho%e1%ba%a1i.html	(from https://suachuadientu-ht.blogspot.com/)
21:26:08	752732/752732	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/iPhone	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/iPhone.html	(from https://suachuadientu-ht.blogspot.com/)
21:26:09	752750/752750	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/Desktop	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/Desktop.html	(from https://suachuadientu-ht.blogspot.com/)
21:26:10	759761/759761	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c.html	(from https://suachuadientu-ht.blogspot.com/)
21:26:11	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	D:/Nodejs%202/DienTuPhuVuong/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://suachuadientu-ht.blogspot.com/)
21:26:11	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	D:/Nodejs%202/DienTuPhuVuong/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://suachuadientu-ht.blogspot.com/)
21:26:12	761362/761362	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/p/lien-he.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/p/lien-he.html	(from https://suachuadientu-ht.blogspot.com/)
